 3437	-639	583	122	-399	745	-1283	3762 
-1525	-537	-528	580	-434	301	-1264	-801 
745	-1510	670	370	-551	474	595	301 
82	320	-618	0	0	-174	172	-649 
7	-109	-70	0	0	-347	-539	499 
249	495	-884	970	-785	829	-593	255 
-703	-872	-472	512	-168	-303	-831	-205 
3510	-491	-759	847	113	-51	-795	2804 

0	2263	1701	1966	2191	1496	2260	0 
2866	1366	771	42	607	771	1991	1947 
1843	1291	593	348	547	871	670	1470 
2064	306	595	725	766	321	546	1995 
2040	257	364	943	771	447	771	1448 
1919	145	1303	389	982	629	700	1423 
2218	1941	916	226	448	380	1561	1498 
0	1966	2123	1621	1716	1621	1714	0 

5301 4375 324
