460	-147	280	77	-110	457	-277	248	
354	-367	-188	376	-303	-346	405	-76	
-252	-302	421	-377	477	-191	-359	478	
380	-422	-419	0	0	-324	-336	-143	
251	67	471	0	0	243	419	-35	
-71	-401	-413	-375	-115	-79	-399	337	
373	-331	490	-219	-339	263	377	-296	
410	-148	15	232	467	-230	107	227	

0	231	63	161	237	-25	262	0	
37	339	186	-79	283	251	-60	173	
272	226	-146	254	-222	205	262	-52	
10	248	307	81	104	240	237	223	
77	48	-209	141	117	-66	-145	179	
192	266	328	228	157	128	282	-3	
22	308	-144	192	232	-32	-56	270	
0	265	189	78	-35	244	95	0	

548 45 7
