220	-67	134	32	-68	215	-127	122	
183	-166	-109	206	-135	-169	215	-31	
-140	-140	205	-177	233	-121	-183	228	
186	-210	-201	0	0	-118	-153	-91	
103	45	235	0	0	113	201	-19	
-33	-193	-219	-183	-65	-43	-201	183	
184	-171	238	-131	-155	127	193	-158	
202	-50	-3	127	227	-113	51	108	

0	108	34	81	121	-4	130	0	
12	163	95	-47	129	126	-37	82	
141	100	-61	117	-98	118	137	-25	
3	110	153	47	59	102	113	115	
44	16	-97	81	60	-33	-69	88	
96	128	172	105	80	67	139	-13	
16	157	-59	109	104	-28	-33	130	
0	121	97	30	-17	109	43	0	

271 26 3
680	-214	436	133	-181	686	-418	401	
518	-556	-285	530	-458	-497	582	-130	
681	-215	437	134	-182	687	-419	402	
519	-557	-284	531	-459	-498	583	-131	
-358	-445	616	-556	710	-224	-517	712	
546	-611	-628	0	0	-536	-508	-251	
380	104	694	0	0	363	635	-21	
-120	-591	-609	-555	-132	-114	-586	467	

566	-494	735	-320	-508	394	544	-430	
609	-216	15	331	682	-341	121	349	
0	343	83	228	361	-41	396	0	
60	515	289	-113	405	349	-93	268	
392	349	-212	378	-332	276	378	-78	
25	372	467	128	160	382	369	355	
112	64	-278	206	161	-91	-209	250	
291	407	476	339	205	188	421	11	

31 473 -204
